,precision,recall,f1-score,support
down,0.4928,0.4573,0.4744,597.0
up,0.5311,0.5664,0.5482,648.0
accuracy,0.5141,0.5141,0.5141,0.5141
macro avg,0.5119,0.5118,0.5113,1245.0
weighted avg,0.5127,0.5141,0.5128,1245.0
