ticker,year,avg_close_price
AAPL,2018,47.26
AAPL,2019,52.06
AAPL,2020,95.35
AAPL,2021,140.99
AAPL,2022,154.84
AAPL,2023,172.55
AAPL,2024,207.21
AAPL,2025,232.24
AAPL,2026,261.03
MSFT,2018,101.03
MSFT,2019,130.38
MSFT,2020,193.03
MSFT,2021,275.94
MSFT,2022,268.92
MSFT,2023,313.95
MSFT,2024,420.31
MSFT,2025,464.43
MSFT,2026,413.97
TSLA,2018,21.15
TSLA,2019,18.24
TSLA,2020,96.67
TSLA,2021,260.0
TSLA,2022,263.09
TSLA,2023,217.48
TSLA,2024,230.61
TSLA,2025,356.97
TSLA,2026,402.55
