,precision,recall,f1-score,support
down,0.4665,0.3032,0.3675,597.0
up,0.5146,0.6806,0.586,648.0
accuracy,0.4996,0.4996,0.4996,0.4996
macro avg,0.4905,0.4919,0.4768,1245.0
weighted avg,0.4915,0.4996,0.4813,1245.0
