date,open,high,low,close,adj_close,volume,ticker,company_name
2018-01-02,42.540000915527344,43.07500076293945,42.314998626708984,43.064998626708984,40.3041877746582,102223600,AAPL,Apple Inc.
2018-01-03,43.13249969482422,43.63750076293945,42.9900016784668,43.057498931884766,40.29714584350586,118071600,AAPL,Apple Inc.
2018-01-04,43.1349983215332,43.36750030517578,43.02000045776367,43.25749969482422,40.484317779541016,89738400,AAPL,Apple Inc.
2018-01-05,43.36000061035156,43.842498779296875,43.26250076293945,43.75,40.94525146484375,94640000,AAPL,Apple Inc.
2018-01-08,43.587501525878906,43.90250015258789,43.48249816894531,43.587501525878906,40.793182373046875,82271200,AAPL,Apple Inc.
2018-01-09,43.63750076293945,43.76499938964844,43.352500915527344,43.58250045776367,40.78849029541016,86336000,AAPL,Apple Inc.
2018-01-10,43.290000915527344,43.57500076293945,43.25,43.5724983215332,40.77914047241211,95839600,AAPL,Apple Inc.
2018-01-11,43.647499084472656,43.872501373291016,43.622501373291016,43.81999969482422,41.01077651977539,74670800,AAPL,Apple Inc.
2018-01-12,44.04499816894531,44.34000015258789,43.912498474121094,44.272499084472656,41.43425750732422,101672400,AAPL,Apple Inc.
2018-01-16,44.474998474121094,44.84749984741211,44.03499984741211,44.04750061035156,41.223690032958984,118263600,AAPL,Apple Inc.
2018-01-17,44.037498474121094,44.8125,43.76750183105469,44.775001525878906,41.90455627441406,137547200,AAPL,Apple Inc.
2018-01-18,44.842498779296875,45.025001525878906,44.5625,44.814998626708984,41.941993713378906,124773600,AAPL,Apple Inc.
2018-01-19,44.65250015258789,44.89500045776367,44.352500915527344,44.6150016784668,41.75481796264648,129700400,AAPL,Apple Inc.
2018-01-22,44.32500076293945,44.44499969482422,44.150001525878906,44.25,41.4132194519043,108434400,AAPL,Apple Inc.
2018-01-23,44.32500076293945,44.86000061035156,44.20500183105469,44.2599983215332,41.422569274902344,130756400,AAPL,Apple Inc.
2018-01-24,44.3125,44.32500076293945,43.29999923706055,43.55500030517578,40.76275634765625,204420400,AAPL,Apple Inc.
2018-01-25,43.627498626708984,43.73749923706055,42.63249969482422,42.77750015258789,40.03510665893555,166116000,AAPL,Apple Inc.
2018-01-26,43.0,43.0,42.51499938964844,42.877498626708984,40.12869644165039,156572000,AAPL,Apple Inc.
2018-01-29,42.540000915527344,42.540000915527344,41.76750183105469,41.9900016784668,39.2981071472168,202561600,AAPL,Apple Inc.
