date,open,high,low,close,adj_close,volume,ticker,company_name,daily_return,volume_change,lag_1,lag_2,lag_3,lag_4,lag_5,ma_5,ma_10,ma_20,volatility_10,target_next_day_up
2018-01-30,41.38249969482422,41.842498779296875,41.17499923706055,41.74250030517578,39.06645965576172,184192800,AAPL,Apple Inc.,-0.005894293007802864,-0.09068253805262205,41.9900016784668,42.877498626708984,42.77750015258789,43.55500030517578,44.2599983215332,42.58850021362305,43.56575012207031,43.583499908447266,0.011156150117565848,1
2018-01-31,41.717498779296875,42.11000061035156,41.625,41.85749816894531,39.17408752441406,129915600,AAPL,Apple Inc.,0.0027549347290840576,-0.29467601339466043,41.74250030517578,41.9900016784668,42.877498626708984,42.77750015258789,43.55500030517578,42.248999786376956,43.273999786376955,43.523124885559085,0.00875603440680273,1
2018-02-01,41.79249954223633,42.154998779296875,41.689998626708984,41.94499969482422,39.2559700012207,188923200,AAPL,Apple Inc.,0.0020904623951898404,0.4541994956725752,41.85749816894531,41.74250030517578,41.9900016784668,42.877498626708984,42.77750015258789,42.08249969482422,42.986999893188475,43.46749992370606,0.008878421010514122,0
2018-02-02,41.5,41.70000076293945,40.025001525878906,40.125,37.55265045166016,346375200,AAPL,Apple Inc.,-0.043390146812870234,0.8334180238319062,41.94499969482422,41.85749816894531,41.74250030517578,41.9900016784668,42.877498626708984,41.53199996948242,42.5379997253418,43.310874938964844,0.014567498987904909,0
2018-02-05,39.775001525878906,40.970001220703125,39.0,39.122501373291016,36.61442184448242,290954000,AAPL,Apple Inc.,-0.024984389450691147,-0.16000337206589843,40.125,41.94499969482422,41.85749816894531,41.74250030517578,41.9900016784668,40.958499908447266,42.0252498626709,43.07950000762939,0.01523029831931605,1
2018-02-06,38.70750045776367,40.93000030517578,38.5,40.75749969482422,38.14461135864258,272975200,AAPL,Apple Inc.,0.04179176341340529,-0.061792585769571806,39.122501373291016,40.125,41.94499969482422,41.85749816894531,41.74250030517578,40.76149978637695,41.675,42.93799991607666,0.02277934666785539,0
2018-02-07,40.772499084472656,40.849998474121094,39.76750183105469,39.8849983215332,37.32803726196289,206434400,AAPL,Apple Inc.,-0.021407136841659957,-0.2437613380263115,40.75749969482422,39.122501373291016,40.125,41.94499969482422,41.85749816894531,40.366999816894534,41.307999801635745,42.75312480926514,0.02305603151079874,0
2018-02-08,40.0724983215332,40.25,38.75749969482422,38.787498474121094,36.30088806152344,217562000,AAPL,Apple Inc.,-0.027516607586757447,0.05390380672988604,39.8849983215332,40.75749969482422,39.122501373291016,40.125,41.94499969482422,39.73549957275391,40.908999633789065,42.51387481689453,0.023684473828526505,1
2018-02-09,39.26750183105469,39.47249984741211,37.560001373291016,39.102500915527344,36.74490737915039,282690400,AAPL,Apple Inc.,0.008121236320935088,0.2993555859938777,38.787498474121094,39.8849983215332,40.75749969482422,39.122501373291016,40.125,39.530999755859376,40.5314998626709,42.27799987792969,0.02407286389080989,1
2018-02-12,39.625,40.97249984741211,39.377498626708984,40.6775016784668,38.224945068359375,243278000,AAPL,Apple Inc.,0.04027877312353767,-0.1394189544462776,39.102500915527344,38.787498474121094,39.8849983215332,40.75749969482422,39.122501373291016,39.84199981689453,40.4002498626709,42.098250007629396,0.028135918133679643,1
2018-02-13,40.48749923706055,41.1875,40.412498474121094,41.084999084472656,38.60788345336914,130196800,AAPL,Apple Inc.,0.0100177589377759,-0.4648229597415303,40.6775016784668,39.102500915527344,38.787498474121094,39.8849983215332,40.75749969482422,39.90749969482422,40.334499740600585,41.95012493133545,0.028391243792347344,1
2018-02-14,40.7599983215332,41.8849983215332,40.720001220703125,41.842498779296875,39.319705963134766,162579600,AAPL,Apple Inc.,0.0184373788902068,0.24872193479409632,41.084999084472656,40.6775016784668,39.102500915527344,38.787498474121094,39.8849983215332,40.29899978637695,40.332999801635744,41.80349979400635,0.0290607008829668,1
2018-02-15,42.4474983215332,43.272499084472656,42.25,43.247501373291016,40.6400146484375,204588800,AAPL,Apple Inc.,0.03357836254964108,0.2583915817236604,41.842498779296875,41.084999084472656,40.6775016784668,39.102500915527344,38.787498474121094,41.191000366210936,40.46324996948242,41.72512493133545,0.03091754028524076,0
2018-02-16,43.09000015258789,43.70500183105469,42.942501068115234,43.10749816894531,40.50843811035156,160704400,AAPL,Apple Inc.,-0.003237255330366118,-0.21450050051615732,43.247501373291016,41.842498779296875,41.084999084472656,40.6775016784668,39.102500915527344,41.991999816894534,40.76149978637695,41.649749755859375,0.026434645279578506,0
2018-02-20,43.01250076293945,43.564998626708984,42.85499954223633,42.962501525878906,40.37217330932617,135722000,AAPL,Apple Inc.,-0.003363606083056414,-0.15545560669154046,43.10749816894531,43.247501373291016,41.842498779296875,41.084999084472656,40.6775016784668,42.44899978637695,41.145499801635744,41.58537483215332,0.024278031588410343,0
2018-02-21,43.20750045776367,43.529998779296875,42.752498626708984,42.76750183105469,40.18893814086914,149886400,AAPL,Apple Inc.,-0.0045388347488741765,0.10436333092645267,42.962501525878906,43.10749816894531,43.247501373291016,41.842498779296875,41.084999084472656,42.78550033569336,41.34650001525879,41.5107500076294,0.021756844164402198,1
2018-02-22,42.95000076293945,43.48749923706055,42.9275016784668,43.125,40.524898529052734,123967600,AAPL,Apple Inc.,0.008359108052594433,-0.17292296032195054,42.76750183105469,42.962501525878906,43.10749816894531,43.247501373291016,41.842498779296875,43.04200057983398,41.67050018310547,41.4892499923706,0.01967339742138348,1
2018-02-23,43.41749954223633,43.912498474121094,43.3849983215332,43.875,41.22966003417969,135249600,AAPL,Apple Inc.,0.017391304347825987,0.09100765038606862,43.125,42.76750183105469,42.962501525878906,43.10749816894531,43.247501373291016,43.16750030517578,42.17925033569336,41.54412498474121,0.01530161177348003,1
2018-02-26,44.087501525878906,44.84749984741211,44.0525016784668,44.74250030517578,42.04485702514648,152648800,AAPL,Apple Inc.,0.019772086727653182,0.12864511244395538,43.875,43.125,42.76750183105469,42.962501525878906,43.10749816894531,43.494500732421876,42.7432502746582,41.637375068664554,0.015374171320221973,0
2018-02-27,44.775001525878906,45.119998931884766,44.540000915527344,44.59749984741211,41.90861129760742,155712400,AAPL,Apple Inc.,-0.0032407768178949192,0.020069597664704952,44.74250030517578,43.875,43.125,42.76750183105469,42.962501525878906,43.82150039672852,43.135250091552734,41.76774997711182,0.012977741126840116,0
2018-02-28,44.814998626708984,45.154998779296875,44.51250076293945,44.529998779296875,41.84516906738281,151128400,AAPL,Apple Inc.,-0.0015135617096515563,-0.029438888617733694,44.59749984741211,44.74250030517578,43.875,43.125,42.76750183105469,44.17399978637695,43.479750061035155,41.90712490081787,0.013413597979063177,0
2018-03-01,44.6349983215332,44.94499969482422,43.165000915527344,43.75,41.11220932006836,195208000,AAPL,Apple Inc.,-0.01751625422589309,0.291669864830171,44.529998779296875,44.59749984741211,44.74250030517578,43.875,43.125,44.29899978637695,43.67050018310547,42.001749992370605,0.015070274309509888,1
2018-03-02,43.20000076293945,44.07500076293945,43.11249923706055,44.0525016784668,41.39646911621094,153816000,AAPL,Apple Inc.,0.006914324079241085,-0.21204049014384652,43.75,44.529998779296875,44.59749984741211,44.74250030517578,43.875,44.33450012207031,43.751000213623044,42.10712509155273,0.011239226441596818,1
2018-03-05,43.8025016784668,44.435001373291016,43.630001068115234,44.20500183105469,41.539764404296875,113605600,AAPL,Apple Inc.,0.003461781891547666,-0.26141883809226607,44.0525016784668,43.75,44.529998779296875,44.59749984741211,44.74250030517578,44.2270004272461,43.86075057983398,42.31112518310547,0.011097579358607623,0
2018-03-06,44.477500915527344,44.5625,44.032501220703125,44.16749954223633,41.50453567504883,95154000,AAPL,Apple Inc.,-0.0008483720679774986,-0.16241804981444574,44.20500183105469,44.0525016784668,43.75,44.529998779296875,44.59749984741211,44.14100036621094,43.98125038146973,42.563375091552736,0.010975925631168218,0
2018-03-07,43.73500061035156,43.962501525878906,43.567501068115234,43.75749969482422,41.11924743652344,126814000,AAPL,Apple Inc.,-0.009282840361384603,0.3327237951110831,44.16749954223633,44.20500183105469,44.0525016784668,43.75,44.529998779296875,43.9865005493164,44.08025016784668,42.713375091552734,0.01142294447595375,1
