date,open,high,low,close,adj_close,volume,ticker
2018-01-02,86.12999725341797,86.30999755859375,85.5,85.94999694824219,78.8703842163086,22483800,MSFT
2018-01-03,86.05999755859375,86.51000213623047,85.97000122070312,86.3499984741211,79.23741149902344,26061400,MSFT
2018-01-04,86.58999633789062,87.66000366210938,86.56999969482422,87.11000061035156,79.93479919433594,21912000,MSFT
2018-01-05,87.66000366210938,88.41000366210938,87.43000030517578,88.19000244140625,80.92584228515625,23407100,MSFT
2018-01-08,88.19999694824219,88.58000183105469,87.5999984741211,88.27999877929688,81.00843811035156,22113000,MSFT
2018-01-09,88.6500015258789,88.7300033569336,87.86000061035156,88.22000122070312,80.9533920288086,19484300,MSFT
2018-01-10,87.86000061035156,88.19000244140625,87.41000366210938,87.81999969482422,80.58633422851562,18652200,MSFT
2018-01-11,88.12999725341797,88.12999725341797,87.23999786376953,88.08000183105469,80.82492065429688,17808900,MSFT
2018-01-12,88.66999816894531,89.77999877929688,88.44999694824219,89.5999984741211,82.21971130371094,24271500,MSFT
2018-01-16,90.0999984741211,90.79000091552734,88.01000213623047,88.3499984741211,81.07266235351562,36599700,MSFT
2018-01-17,89.08000183105469,90.27999877929688,88.75,90.13999938964844,82.71521759033203,25621200,MSFT
2018-01-18,89.80000305175781,90.66999816894531,89.66000366210938,90.0999984741211,82.67850494384766,24159700,MSFT
2018-01-19,90.13999938964844,90.61000061035156,89.66000366210938,90.0,82.58678436279297,36875000,MSFT
2018-01-22,90.0,91.62000274658203,89.73999786376953,91.61000061035156,84.06415557861328,23601600,MSFT
2018-01-23,91.9000015258789,92.30000305175781,91.54000091552734,91.9000015258789,84.33026885986328,23412800,MSFT
2018-01-24,92.55000305175781,93.43000030517578,91.58000183105469,91.81999969482422,84.25685119628906,33277500,MSFT
2018-01-25,92.47000122070312,93.23999786376953,91.93000030517578,92.33000183105469,84.72484588623047,26383200,MSFT
2018-01-26,93.12000274658203,94.05999755859375,92.58000183105469,94.05999755859375,86.31233978271484,29172200,MSFT
2018-01-29,95.13999938964844,95.44999694824219,93.72000122070312,93.91999816894531,86.18387603759766,31569900,MSFT
2018-01-30,93.30000305175781,93.66000366210938,92.0999984741211,92.73999786376953,85.10105895996094,38635100,MSFT
2018-01-31,93.75,95.4000015258789,93.51000213623047,95.01000213623047,87.18408966064453,48756300,MSFT
2018-02-01,94.79000091552734,96.06999969482422,93.58000183105469,94.26000213623047,86.49588012695312,47227900,MSFT
2018-02-02,93.63999938964844,93.97000122070312,91.5,91.77999877929688,84.22014617919922,47867800,MSFT
2018-02-05,90.55999755859375,93.23999786376953,88.0,88.0,80.75152587890625,51031500,MSFT
2018-02-06,86.88999938964844,91.4800033569336,85.25,91.33000183105469,83.80720520019531,67998600,MSFT
2018-02-07,90.48999786376953,91.7699966430664,89.19999694824219,89.61000061035156,82.22887420654297,41107600,MSFT
2018-02-08,89.70999908447266,89.87999725341797,84.76000213623047,85.01000213623047,78.00779724121094,55628700,MSFT
2018-02-09,86.30000305175781,88.93000030517578,83.83000183105469,88.18000030517578,80.91669464111328,63499100,MSFT
2018-02-12,88.73999786376953,89.77999877929688,87.93000030517578,89.12999725341797,81.78842163085938,35720300,MSFT
2018-02-13,88.93000030517578,90.0,87.80000305175781,89.83000183105469,82.4307632446289,26407700,MSFT
2018-02-14,88.51000213623047,90.98999786376953,88.41000366210938,90.80999755859375,83.72148895263672,34960900,MSFT
2018-02-15,91.20999908447266,92.72000122070312,90.62000274658203,92.66000366210938,85.42707824707031,27823900,MSFT
2018-02-16,92.44999694824219,93.5,91.80000305175781,92.0,84.818603515625,30596900,MSFT
2018-02-20,91.4800033569336,93.05999755859375,91.01000213623047,92.72000122070312,85.4823989868164,30911700,MSFT
2018-02-21,92.9800033569336,93.36000061035156,91.48999786376953,91.48999786376953,84.3484115600586,26922500,MSFT
2018-02-22,92.05000305175781,92.7300033569336,91.36000061035156,91.7300033569336,84.56966400146484,24392800,MSFT
2018-02-23,93.5999984741211,94.06999969482422,92.36000061035156,94.05999755859375,86.71778869628906,26329200,MSFT
2018-02-26,94.4000015258789,95.44999694824219,94.25,95.41999816894531,87.9716567993164,30199800,MSFT
2018-02-27,95.73999786376953,95.83999633789062,94.19999694824219,94.19999694824219,86.84684753417969,25869100,MSFT
2018-02-28,94.83999633789062,95.70999908447266,93.62999725341797,93.7699966430664,86.45040893554688,31167300,MSFT
2018-03-01,93.98999786376953,94.56999969482422,91.83999633789062,92.8499984741211,85.60224914550781,37135600,MSFT
